unit_group_id,uoms_in_group,unit_group_name
130,in/1 of Travel; Micrometer/25 mm of travel,Travel Accuracy
198,NTU,Turbidity
86,sec/tie,Tying Speed
121,in of Hg; in. hg,Vacuum
193,vpm; VPM,Vibration Frequency
17,cps; cSt; lbs/ft-s; SUS,Viscosity
116,cSt,Viscosity - 2
117,SUS,Viscosity - 3
19,kV AC; kV DC; V AC; V AC/DC; V DC; VAC; DC; VDC,Voltage
56,kV; kV AC; kV DC; mV; mV AC; mV DC; nV; nV AC; nV DC; V; V AC; V DC; VAC; DC; VDC,Voltage - Current Specified
165,V,Voltage - General
164,bu; cc; cu ft; cu in; cu m; cu yd; bu.; cu. ft.; cu. in.; cu. yd.,Volume
200,gpf,Water Consumption
167,W/ft,Wattage - Linear
166,mW/sq cm; W/sq ft; W/sq in; W/sq m; W/sq mm,Wattage Density
109,nm,Wavelength
52,g; kg; lb; mg; oz; ton; Tonne; ozt; cg; k; lb.; gn.; gn; mesghal; oz.; t; metric ton,Weight
191,ft/lb,Weight (Welding Rods)
58,"AWG; ga; in; kcmil; micron; mm; ""; in.; ga.",Wire Gauge
